  PID TTY          TIME CMD
 1672 ?        00:00:00 chrome
 1698 ?        00:00:01 chrome
 1708 ?        00:00:00 chrome
 1718 ?        00:00:00 chrome
 1806 ?        00:00:00 chrome
 1949 ?        00:00:00 bash <defunct>
 2697 ?        00:00:00 kworker/3:2
 2740 ?        00:00:01 chrome
 2754 ?        00:00:00 chrome
 2765 ?        00:00:00 chrome
 2807 ?        00:00:01 kworker/0:0
 2837 ?        00:00:00 kworker/0:1
 2840 ?        00:05:45 mplayer
 2841 ?        00:00:01 mplayer
 2870 ?        00:00:00 kworker/0:2
 2907 pts/0    00:00:00 ps
